<<<<<<< Updated upstream
<0> <KO778XD> <18/01/2026 19:21:33.159>
<1> <KO778XD> <18/01/2026 19:28:47.277>
<2> <KO778XD> <18/01/2026 19:37:07.411>
<3> <KO778XD> <18/01/2026 19:45:10.633>
<4> <KO778XD> <18/01/2026 19:53:42.456>
<1> <LD443UT> <18/01/2026 19:34:15.675>
<2> <LD443UT> <18/01/2026 19:43:28.763>
<3> <LD443UT> <18/01/2026 19:52:22.284>
<1> <BC512AO> <18/01/2026 19:31:37.237>
<2> <OK470XI> <18/01/2026 19:40:24.503>
<3> <OK470XI> <18/01/2026 19:48:27.725>
<4> <OK470XI> <18/01/2026 19:56:21.966>
<5> <OK470XI> <18/01/2026 20:04:04.968>
<1> <FW820KY> <18/01/2026 19:36:24.488>
<2> <FW820KY> <18/01/2026 19:44:21.310>
<3> <FW820KY> <18/01/2026 19:54:33.346>
<4> <FW820KY> <18/01/2026 20:03:18.894>
<5> <FW820KY> <18/01/2026 20:11:29.547>
<1> <IL660NO> <18/01/2026 19:35:05.688>
<3> <SP955HG> <18/01/2026 19:48:40.889>
<6> <ZT029PV> <18/01/2026 20:21:10.833>
<4> <WY882PS> <18/01/2026 19:54:01.537>
<5> <WY882PS> <18/01/2026 20:03:41.489>
<3> <WZ395CG> <18/01/2026 19:51:32.942>
<4> <WZ395CG> <18/01/2026 20:00:55.228>
<5> <WZ395CG> <18/01/2026 20:09:11.949>
<2> <GW091GK> <18/01/2026 19:39:04.977>
<2> <ZN376XA> <18/01/2026 19:40:25.626>
<3> <ZN376XA> <18/01/2026 19:49:26.083>
<4> <ZN376XA> <18/01/2026 20:00:08.180>
<6> <AW605NQ> <18/01/2026 20:17:30.515>
<1> <DZ292GH> <18/01/2026 19:32:21.386>
<3> <NM407CN> <18/01/2026 19:53:31.668>
<1> <EL742DS> <18/01/2026 19:30:44.967>
<2> <EL742DS> <18/01/2026 19:37:22.757>
<3> <EL742DS> <18/01/2026 19:44:04.905>
<4> <EL742DS> <18/01/2026 19:50:51.476>
<5> <EL742DS> <18/01/2026 19:57:31.764>
<6> <EL742DS> <18/01/2026 20:04:07.369>
<2> <OW242OT> <18/01/2026 19:39:26.880>
<5> <MV185KY> <18/01/2026 20:18:18.422>
<6> <MV185KY> <18/01/2026 20:25:40.140>
<4> <XD511JM> <18/01/2026 20:05:27.679>
<1> <UI209WA> <18/01/2026 19:38:55.589>
<2> <UI209WA> <18/01/2026 19:48:51.790>
<3> <UI209WA> <18/01/2026 20:02:08.560>
<4> <UI209WA> <18/01/2026 20:12:33.291>
<5> <UI209WA> <18/01/2026 20:23:10.711>
<0> <DW098GN> <18/01/2026 19:24:36.801>
<1> <DW098GN> <18/01/2026 19:33:55.832>
<2> <DW098GN> <18/01/2026 19:41:06.969>
<3> <DW098GN> <18/01/2026 19:48:42.497>
<4> <CC434SS> <18/01/2026 20:03:25.868>
<6> <TV671XP> <18/01/2026 20:15:25.786>
<2> <AW891OI> <18/01/2026 19:38:29.727>
<1> <US143MW> <18/01/2026 19:39:08.410>
<2> <US143MW> <18/01/2026 19:47:28.410>
<3> <US143MW> <18/01/2026 19:55:06.188>
<4> <US143MW> <18/01/2026 20:02:30.632>
<5> <US143MW> <18/01/2026 20:10:26.341>
<2> <OK015PA> <18/01/2026 19:44:05.601>
<3> <OK015PA> <18/01/2026 19:51:57.340>
<4> <OK015PA> <18/01/2026 19:58:49.136>
<5> <OK015PA> <18/01/2026 20:06:58.719>
<6> <OK015PA> <18/01/2026 20:17:19.409>
<1> <YZ478JC> <18/01/2026 19:37:38.970>
<5> <VZ950TL> <18/01/2026 20:02:31.060>
<6> <VZ950TL> <18/01/2026 20:11:50.920>
<6> <BP192EF> <18/01/2026 20:11:57.082>
<4> <ZV528XJ> <18/01/2026 19:52:36.112>
<5> <ZV528XJ> <18/01/2026 20:01:09.793>
<2> <JS982EO> <18/01/2026 19:41:52.581>
<3> <JS982EO> <18/01/2026 19:55:30.423>
<4> <JS982EO> <18/01/2026 20:05:53.358>
<1> <FL260ZA> <18/01/2026 19:32:04.255>
<2> <FL260ZA> <18/01/2026 19:39:53.812>
<3> <FL260ZA> <18/01/2026 19:49:11.952>
<4> <FL260ZA> <18/01/2026 19:59:18.321>
<5> <FL260ZA> <18/01/2026 20:06:57.412>
<4> <XI688AT> <18/01/2026 19:56:40.729>
<5> <XI688AT> <18/01/2026 20:08:22.101>
<6> <NK534XU> <18/01/2026 20:15:16.964>
<2> <JP519LQ> <18/01/2026 19:43:18.422>
<3> <JP519LQ> <18/01/2026 19:50:49.318>
<4> <JP519LQ> <18/01/2026 19:59:56.849>
<5> <JP519LQ> <18/01/2026 20:06:37.685>
<6> <DI045PO> <18/01/2026 20:35:10.188>
<4> <WM235BJ> <18/01/2026 19:53:55.349>
<2> <HD576AS> <18/01/2026 19:46:47.815>
<3> <HD576AS> <18/01/2026 19:55:43.729>
<4> <HD576AS> <18/01/2026 20:02:25.964>
<5> <HD576AS> <18/01/2026 20:09:40.110>
<6> <HD576AS> <18/01/2026 20:17:43.331>
<1> <AW503AD> <18/01/2026 19:36:26.761>
<4> <WT276KU> <18/01/2026 19:59:43.186>
<2> <EV170SX> <18/01/2026 19:42:34.446>
<0> <II207FD> <18/01/2026 19:27:07.001>
<1> <II207FD> <18/01/2026 19:34:48.251>
<2> <II207FD> <18/01/2026 19:44:08.501>
<3> <II207FD> <18/01/2026 19:55:15.896>
<4> <II207FD> <18/01/2026 20:04:08.425>
<5> <II207FD> <18/01/2026 20:14:00.215>
<6> <II207FD> <18/01/2026 20:23:14.501>
<0> <NY394SM> <18/01/2026 19:27:39.849>
<1> <NY394SM> <18/01/2026 19:37:30.249>
<2> <NY394SM> <18/01/2026 19:49:33.291>
<3> <NY394SM> <18/01/2026 20:02:03.496>
<2> <TH862PI> <18/01/2026 19:46:12.747>
<3> <TH862PI> <18/01/2026 19:57:48.091>
<4> <TH862PI> <18/01/2026 20:05:18.091>
<5> <TH862PI> <18/01/2026 20:12:30.503>
<2> <YD647KB> <18/01/2026 19:51:54.915>
<3> <YD647KB> <18/01/2026 20:00:20.430>
<0> <XI103GW> <18/01/2026 19:29:04.077>
<4> <IZ918ZN> <18/01/2026 20:02:42.380>
<5> <IZ918ZN> <18/01/2026 20:14:19.511>
<6> <IZ918ZN> <18/01/2026 20:24:34.914>
<5> <GO620GK> <18/01/2026 20:17:44.844>
<5> <LX777RS> <18/01/2026 20:09:13.803>
<1> <OW364HQ> <18/01/2026 19:35:46.270>
<2> <OW364HQ> <18/01/2026 19:43:03.944>
<3> <OW364HQ> <18/01/2026 19:49:53.035>
<4> <OW364HQ> <18/01/2026 19:56:20.148>
<2> <GZ512CM> <18/01/2026 19:42:00.434>
<3> <GZ512CM> <18/01/2026 19:52:05.753>
<5> <XP377FO> <18/01/2026 20:01:43.921>
<6> <XP377FO> <18/01/2026 20:08:23.687>
<0> <OK309NA> <18/01/2026 19:28:09.701>
<1> <OK309NA> <18/01/2026 19:36:25.003>
<2> <OK309NA> <18/01/2026 19:48:51.922>
<3> <OK309NA> <18/01/2026 19:56:45.607>
<4> <OK309NA> <18/01/2026 20:06:25.592>
<5> <OK309NA> <18/01/2026 20:14:41.367>
<6> <OK309NA> <18/01/2026 20:21:44.896>
<4> <ZA562VW> <18/01/2026 20:07:09.842>
<5> <ZA562VW> <18/01/2026 20:16:07.591>
<1> <CL701ZZ> <18/01/2026 19:36:01.695>
<2> <CL701ZZ> <18/01/2026 19:43:28.260>
<3> <CL701ZZ> <18/01/2026 19:51:04.592>
<4> <CL701ZZ> <18/01/2026 19:59:46.114>
<5> <CL701ZZ> <18/01/2026 20:07:30.141>
<6> <CL701ZZ> <18/01/2026 20:13:59.330>
<5> <BZ691OF> <18/01/2026 20:13:19.729>
<2> <BR127KJ> <18/01/2026 19:53:21.548>
<3> <BR127KJ> <18/01/2026 20:04:26.025>
<4> <BR127KJ> <18/01/2026 20:16:41.000>
<5> <BR127KJ> <18/01/2026 20:24:06.743>
<5> <TV363CP> <18/01/2026 20:19:52.691>
<0> <AD328YO> <18/01/2026 19:28:42.653>
<1> <AD328YO> <18/01/2026 19:37:53.400>
<2> <AD328YO> <18/01/2026 19:48:31.721>
<3> <AD328YO> <18/01/2026 19:58:49.788>
<4> <AD328YO> <18/01/2026 20:08:45.468>
<4> <LH474RQ> <18/01/2026 20:06:07.844>
<2> <SY962ID> <18/01/2026 19:47:01.942>
<3> <SY962ID> <18/01/2026 19:55:36.315>
<4> <SY962ID> <18/01/2026 20:03:50.783>
<5> <SY962ID> <18/01/2026 20:10:53.809>
<2> <ND110SH> <18/01/2026 19:43:02.598>
<3> <ND110SH> <18/01/2026 19:51:44.284>
<4> <ND110SH> <18/01/2026 20:01:49.886>
<5> <ND110SH> <18/01/2026 20:11:45.705>
<6> <ND110SH> <18/01/2026 20:22:19.170>
<1> <LE043QM> <18/01/2026 19:41:47.268>
<0> <FD044FV> <18/01/2026 19:30:52.044>
<1> <FD044FV> <18/01/2026 19:41:49.147>
<2> <FD044FV> <18/01/2026 19:50:20.532>
<3> <LG948WV> <18/01/2026 19:58:43.484>
<4> <LG948WV> <18/01/2026 20:05:54.622>
<5> <LG948WV> <18/01/2026 20:13:42.501>
<5> <EG710YN> <18/01/2026 20:22:35.666>
<6> <EG710YN> <18/01/2026 20:33:10.970>
<0> <GY336DI> <18/01/2026 19:29:30.674>
<1> <GY336DI> <18/01/2026 19:37:11.924>
<2> <GY336DI> <18/01/2026 19:45:00.933>
<3> <GY336DI> <18/01/2026 19:56:29.104>
<5> <QV470RU> <18/01/2026 20:29:40.893>
<1> <KH658QM> <18/01/2026 19:40:59.475>
<2> <KH658QM> <18/01/2026 19:51:40.992>
<5> <NP316DX> <18/01/2026 20:05:43.555>
<0> <BX303RB> <18/01/2026 19:30:08.327>
<1> <BX303RB> <18/01/2026 19:39:03.109>
<2> <BX303RB> <18/01/2026 19:46:44.559>
<0> <QJ710KI> <18/01/2026 19:29:59.252>
<1> <QJ710KI> <18/01/2026 19:37:15.938>
<2> <QJ710KI> <18/01/2026 19:45:06.335>
<3> <QJ710KI> <18/01/2026 19:57:25.134>
<4> <QJ710KI> <18/01/2026 20:08:46.243>
<3> <VK558XI> <18/01/2026 19:53:41.388>
<2> <JV658MB> <18/01/2026 19:44:45.852>
<2> <VA303LT> <18/01/2026 19:50:21.614>
<6> <MH684YL> <18/01/2026 20:25:11.954>
<5> <CM734KQ> <18/01/2026 20:18:17.889>
<0> <YH999NP> <18/01/2026 19:31:09.955>
<1> <YH999NP> <18/01/2026 19:39:50.434>
<2> <YH999NP> <18/01/2026 19:46:09.381>
<3> <YH999NP> <18/01/2026 19:53:05.058>
<4> <YH999NP> <18/01/2026 20:00:14.818>
<5> <YH999NP> <18/01/2026 20:09:35.887>
<6> <YH999NP> <18/01/2026 20:20:20.809>
<2> <YS690UR> <18/01/2026 19:52:33.576>
<3> <YS690UR> <18/01/2026 20:01:32.165>
<4> <YS690UR> <18/01/2026 20:11:36.626>
<5> <YS690UR> <18/01/2026 20:22:36.351>
<3> <MK384XA> <18/01/2026 19:58:48.371>
<1> <QZ687RG> <18/01/2026 19:43:26.778>
<2> <CS084LI> <18/01/2026 19:47:10.009>
<3> <CS084LI> <18/01/2026 19:57:27.704>
<4> <CS084LI> <18/01/2026 20:04:31.167>
<5> <LF745KH> <18/01/2026 20:09:11.285>
<4> <TS094JB> <18/01/2026 20:08:00.399>
<6> <PE308TS> <18/01/2026 20:27:31.109>
<6> <RW230PI> <18/01/2026 20:29:30.600>
<4> <SL538IV> <18/01/2026 20:02:13.618>
<5> <SL538IV> <18/01/2026 20:12:04.876>
<3> <AX659ZO> <18/01/2026 19:57:23.990>
<4> <AX659ZO> <18/01/2026 20:06:20.398>
<5> <AX659ZO> <18/01/2026 20:15:19.765>
<5> <EK622WV> <18/01/2026 20:17:57.454>
<1> <XA861LM> <18/01/2026 19:38:21.314>
<4> <EH181HJ> <18/01/2026 20:03:03.854>
<5> <EH181HJ> <18/01/2026 20:17:19.945>
<5> <LD336EV> <18/01/2026 20:16:58.894>
<6> <LD336EV> <18/01/2026 20:24:20.612>
<2> <CD127QO> <18/01/2026 19:47:12.833>
<3> <CD127QO> <18/01/2026 20:00:31.018>
<3> <AB412XX> <18/01/2026 19:53:03.123>
<4> <AB412XX> <18/01/2026 20:03:50.134>
<5> <AB412XX> <18/01/2026 20:18:01.557>
<3> <HH297FW> <18/01/2026 20:07:05.070>
<2> <NN957JC> <18/01/2026 19:49:52.817>
<3> <NN957JC> <18/01/2026 19:57:13.665>
<4> <NN957JC> <18/01/2026 20:05:06.851>
<5> <AE116UH> <18/01/2026 20:18:04.111>
<4> <SN740IJ> <18/01/2026 20:12:36.733>
<5> <SN740IJ> <18/01/2026 20:24:28.114>
<2> <JI950RH> <18/01/2026 19:51:39.466>
<3> <JI950RH> <18/01/2026 19:58:46.399>
<4> <JI950RH> <18/01/2026 20:05:58.157>
<4> <SU870WF> <18/01/2026 20:15:03.869>
<5> <SU870WF> <18/01/2026 20:23:58.290>
<2> <MH613UC> <18/01/2026 19:58:38.305>
<1> <HC977NK> <18/01/2026 19:43:55.053>
<2> <HC977NK> <18/01/2026 19:50:44.144>
<3> <HC977NK> <18/01/2026 19:59:20.322>
<4> <HC977NK> <18/01/2026 20:08:38.641>
<5> <HC977NK> <18/01/2026 20:16:41.940>
<6> <HC977NK> <18/01/2026 20:28:12.550>
<6> <KS651BF> <18/01/2026 20:13:35.400>
<3> <XG945UG> <18/01/2026 19:56:22.858>
<4> <XG945UG> <18/01/2026 20:03:31.429>
<1> <BX279RV> <18/01/2026 19:41:05.668>
<2> <BX279RV> <18/01/2026 19:54:19.001>
<1> <CL483XC> <18/01/2026 19:42:26.432>
<2> <CL483XC> <18/01/2026 19:52:58.093>
<3> <CL483XC> <18/01/2026 20:03:42.110>
<4> <CL483XC> <18/01/2026 20:11:54.836>
<5> <CL483XC> <18/01/2026 20:19:03.408>
<1> <XV035DU> <18/01/2026 19:42:13.458>
<2> <XV035DU> <18/01/2026 19:50:23.610>
<3> <XV035DU> <18/01/2026 19:58:30.096>
<1> <XH783EX> <18/01/2026 19:47:24.664>
<2> <XH783EX> <18/01/2026 19:53:49.691>
<3> <XH783EX> <18/01/2026 20:01:20.978>
<4> <XH783EX> <18/01/2026 20:10:15.006>
<5> <XH783EX> <18/01/2026 20:20:16.522>
<6> <XH783EX> <18/01/2026 20:27:49.352>
<4> <UN733AM> <18/01/2026 20:14:16.132>
<5> <UN733AM> <18/01/2026 20:23:40.196>
<2> <IE878WM> <18/01/2026 19:52:38.361>
<5> <PT442JY> <18/01/2026 20:17:33.088>
<6> <NI698II> <18/01/2026 20:34:56.340>
<4> <TG270DQ> <18/01/2026 20:12:46.874>
<5> <TG270DQ> <18/01/2026 20:21:30.335>
<6> <TG270DQ> <18/01/2026 20:31:06.079>
<1> <PW046VO> <18/01/2026 19:43:22.934>
<2> <PW046VO> <18/01/2026 19:50:02.934>
<3> <PW046VO> <18/01/2026 19:59:36.857>
<4> <PW046VO> <18/01/2026 20:08:08.613>
<5> <PW046VO> <18/01/2026 20:16:00.648>
<2> <WC148OK> <18/01/2026 19:53:52.440>
<3> <WC148OK> <18/01/2026 20:02:34.748>
<4> <RX665UJ> <18/01/2026 20:11:58.031>
<0> <LB250BZ> <18/01/2026 19:36:07.586>
<6> <OO853LB> <18/01/2026 20:34:32.466>
<5> <WB792VZ> <18/01/2026 20:14:51.508>
<0> <UX500AO> <18/01/2026 19:35:23.828>
<4> <FQ214NW> <18/01/2026 20:10:14.982>
<5> <FQ214NW> <18/01/2026 20:19:41.616>
<6> <YC378EE> <18/01/2026 20:36:32.992>
<4> <AG695AP> <18/01/2026 20:08:16.650>
<5> <AG695AP> <18/01/2026 20:15:00.706>
<4> <OM070MM> <18/01/2026 20:11:52.450>
<5> <OM070MM> <18/01/2026 20:18:23.754>
<4> <XS584RS> <18/01/2026 20:10:35.927>
<6> <GO351AZ> <18/01/2026 20:20:09.420>
<6> <SZ323YV> <18/01/2026 20:22:56.652>
<1> <QC278WR> <18/01/2026 19:46:30.734>
<2> <QC278WR> <18/01/2026 20:00:13.393>
<2> <QY575PI> <18/01/2026 19:52:25.093>
<3> <QY575PI> <18/01/2026 20:00:25.693>
<4> <QY575PI> <18/01/2026 20:10:25.093>
<5> <QY575PI> <18/01/2026 20:18:40.417>
<6> <QY575PI> <18/01/2026 20:26:57.634>
<5> <NI522XN> <18/01/2026 20:20:28.613>
<3> <TY833KF> <18/01/2026 19:58:50.447>
<1> <ZA041BA> <18/01/2026 19:48:41.486>
<2> <QJ852EF> <18/01/2026 19:59:52.670>
<3> <QJ852EF> <18/01/2026 20:07:20.115>
<3> <ZF284XO> <18/01/2026 20:02:40.521>
<5> <ME198SZ> <18/01/2026 20:28:51.567>
<1> <XA176HB> <18/01/2026 19:46:19.655>
<2> <XA176HB> <18/01/2026 19:54:48.573>
<3> <XA176HB> <18/01/2026 20:01:30.808>
<4> <XA176HB> <18/01/2026 20:08:13.043>
<5> <XA176HB> <18/01/2026 20:16:02.947>
<3> <LO539FK> <18/01/2026 20:10:51.186>
<4> <LO539FK> <18/01/2026 20:18:38.718>
<5> <LO539FK> <18/01/2026 20:28:18.694>
<5> <NW060AE> <18/01/2026 20:21:47.389>
<6> <XA014JM> <18/01/2026 20:25:31.580>
<3> <NQ356LQ> <18/01/2026 20:07:34.616>
<4> <NQ356LQ> <18/01/2026 20:21:06.769>
<1> <NH825EI> <18/01/2026 19:49:06.584>
<2> <NH825EI> <18/01/2026 19:59:19.832>
<3> <NH825EI> <18/01/2026 20:11:40.707>
<4> <NH825EI> <18/01/2026 20:24:25.718>
<5> <NH825EI> <18/01/2026 20:32:03.223>
<3> <CV668BA> <18/01/2026 20:05:34.680>
<4> <CV668BA> <18/01/2026 20:13:18.834>
<1> <ML123TJ> <18/01/2026 19:48:03.786>
<0> <RN951NX> <18/01/2026 19:38:22.108>
<1> <RN951NX> <18/01/2026 19:47:24.525>
<2> <RN951NX> <18/01/2026 19:57:09.921>
<6> <WD133EB> <18/01/2026 20:29:57.762>
<2> <ER092QU> <18/01/2026 19:56:18.000>
<3> <ER092QU> <18/01/2026 20:03:21.014>
<4> <ER092QU> <18/01/2026 20:09:48.111>
<5> <ER092QU> <18/01/2026 20:16:16.384>
<6> <ER092QU> <18/01/2026 20:22:51.989>
<3> <XQ233EW> <18/01/2026 20:07:08.414>
<3> <WT812GA> <18/01/2026 20:10:10.481>
<4> <WT812GA> <18/01/2026 20:18:13.826>
<2> <FJ098OL> <18/01/2026 19:54:40.658>
<3> <FJ098OL> <18/01/2026 20:04:28.991>
<4> <FJ098OL> <18/01/2026 20:12:55.658>
<5> <FJ098OL> <18/01/2026 20:20:59.164>
<6> <FJ098OL> <18/01/2026 20:28:46.697>
<5> <VN431KV> <18/01/2026 20:19:47.213>
<2> <LR200MX> <18/01/2026 19:59:31.678>
<3> <LR200MX> <18/01/2026 20:09:22.343>
<4> <LR200MX> <18/01/2026 20:19:19.389>
<4> <DI958AA> <18/01/2026 20:21:14.215>
<2> <FT680PJ> <18/01/2026 19:55:27.658>
<3> <FT680PJ> <18/01/2026 20:03:30.880>
<3> <PB752EZ> <18/01/2026 20:03:57.562>
<4> <PB752EZ> <18/01/2026 20:10:56.167>
<5> <KG163YC> <18/01/2026 20:27:18.846>
<6> <WT227IU> <18/01/2026 20:25:43.900>
<4> <OU178UL> <18/01/2026 20:19:59.814>
<4> <BK220YW> <18/01/2026 20:09:09.736>
<5> <BK220YW> <18/01/2026 20:15:30.689>
<6> <BK220YW> <18/01/2026 20:21:55.153>
<2> <FN889SY> <18/01/2026 20:00:37.983>
<3> <FN889SY> <18/01/2026 20:08:28.018>
<1> <TL475XD> <18/01/2026 19:49:11.921>
<2> <TL475XD> <18/01/2026 19:58:00.953>
<3> <TL475XD> <18/01/2026 20:07:38.012>
<4> <TL475XD> <18/01/2026 20:20:53.704>
<5> <TL475XD> <18/01/2026 20:29:04.086>
<6> <TL475XD> <18/01/2026 20:35:54.654>
<2> <SU500PD> <18/01/2026 20:00:31.870>
<3> <SU500PD> <18/01/2026 20:08:50.600>
<1> <MU949OG> <18/01/2026 19:51:20.109>
<2> <MU949OG> <18/01/2026 20:04:06.815>
<3> <MU949OG> <18/01/2026 20:10:52.403>
<2> <CX900IK> <18/01/2026 19:53:22.176>
<3> <CX900IK> <18/01/2026 20:02:31.794>
<4> <CX900IK> <18/01/2026 20:12:37.883>
<5> <XX281YT> <18/01/2026 20:33:50.751>
<6> <XX281YT> <18/01/2026 20:44:15.141>
<4> <ZO137QO> <18/01/2026 20:18:50.685>
<5> <ZO137QO> <18/01/2026 20:26:05.850>
<3> <VA458ZT> <18/01/2026 20:02:53.336>
<4> <VA458ZT> <18/01/2026 20:10:19.052>
<3> <OZ358ML> <18/01/2026 20:15:50.201>
<4> <OZ358ML> <18/01/2026 20:28:36.159>
<5> <OZ358ML> <18/01/2026 20:42:23.399>
<5> <BL719ZK> <18/01/2026 20:36:09.969>
<3> <YG077KZ> <18/01/2026 20:06:24.869>
<4> <YG077KZ> <18/01/2026 20:15:08.177>
<2> <SA805HC> <18/01/2026 19:57:43.150>
<3> <SA805HC> <18/01/2026 20:07:02.522>
<4> <SA805HC> <18/01/2026 20:18:34.829>
<5> <SA805HC> <18/01/2026 20:28:00.659>
<0> <HG631TK> <18/01/2026 19:41:13.558>
<4> <EN660UQ> <18/01/2026 20:17:06.090>
<2> <BW471AK> <18/01/2026 20:02:38.807>
<3> <BW471AK> <18/01/2026 20:10:45.076>
<4> <BW471AK> <18/01/2026 20:19:32.197>
<5> <BW471AK> <18/01/2026 20:30:27.736>
<6> <CS356BK> <18/01/2026 20:37:17.222>
<2> <GI252YV> <18/01/2026 19:58:52.587>
<3> <GI252YV> <18/01/2026 20:08:19.744>
<6> <ZD498NQ> <18/01/2026 20:33:03.525>
<0> <VA705IY> <18/01/2026 19:42:47.258>
<1> <VA705IY> <18/01/2026 19:53:26.970>
<2> <VA705IY> <18/01/2026 20:00:21.978>
<2> <EF942XH> <18/01/2026 20:02:32.812>
<3> <EF942XH> <18/01/2026 20:14:00.745>
<4> <EF942XH> <18/01/2026 20:26:09.610>
<2> <BX817QX> <18/01/2026 19:58:23.403>
<3> <SJ098LW> <18/01/2026 20:07:16.032>
<4> <SJ098LW> <18/01/2026 20:16:07.859>
<5> <AE387RS> <18/01/2026 20:22:00.765>
<3> <QE903DB> <18/01/2026 20:06:07.230>
<1> <NB262HX> <18/01/2026 19:53:02.016>
<2> <NB262HX> <18/01/2026 20:00:40.959>
<1> <EH577SL> <18/01/2026 19:51:54.043>
<2> <EH577SL> <18/01/2026 20:00:19.811>
<3> <EH577SL> <18/01/2026 20:09:21.165>
<6> <LZ824DK> <18/01/2026 20:30:45.837>
<2> <WL906UX> <18/01/2026 19:55:50.738>
<3> <WL906UX> <18/01/2026 20:03:29.337>
<4> <WL906UX> <18/01/2026 20:13:46.600>
<5> <WL906UX> <18/01/2026 20:24:52.167>
<1> <KG576IR> <18/01/2026 19:52:23.042>
<3> <FP468OQ> <18/01/2026 20:09:36.055>
<4> <FP468OQ> <18/01/2026 20:18:18.430>
<2> <QT027DG> <18/01/2026 20:00:51.714>
<3> <QT027DG> <18/01/2026 20:08:50.505>
<1> <ER249ZS> <18/01/2026 19:51:05.452>
<2> <ER249ZS> <18/01/2026 19:58:54.903>
<3> <ER249ZS> <18/01/2026 20:07:25.541>
<4> <ER249ZS> <18/01/2026 20:19:13.094>
<2> <HU268HZ> <18/01/2026 20:01:18.320>
<3> <HU268HZ> <18/01/2026 20:08:24.355>
<1> <IT837QI> <18/01/2026 19:54:16.186>
<6> <XC120UN> <18/01/2026 20:39:56.128>
<4> <FG509QH> <18/01/2026 20:14:06.697>
<5> <FG509QH> <18/01/2026 20:20:33.794>
<6> <FG509QH> <18/01/2026 20:28:14.291>
<1> <LD994YE> <18/01/2026 19:56:27.931>
<2> <LD994YE> <18/01/2026 20:06:17.662>
<2> <AY805CN> <18/01/2026 20:07:05.474>
<3> <AY805CN> <18/01/2026 20:15:29.321>
<2> <HF362GV> <18/01/2026 20:14:24.951>
<3> <HF362GV> <18/01/2026 20:27:05.247>
<3> <FU773OV> <18/01/2026 20:11:07.885>
<4> <FU773OV> <18/01/2026 20:17:45.675>
<3> <RX549RX> <18/01/2026 20:15:03.872>
<4> <RX549RX> <18/01/2026 20:23:54.834>
<4> <DS101TA> <18/01/2026 20:12:13.835>
<5> <DS101TA> <18/01/2026 20:20:59.382>
<3> <OY665LP> <18/01/2026 20:06:58.408>
<4> <OY665LP> <18/01/2026 20:13:57.013>
<5> <OY665LP> <18/01/2026 20:20:31.752>
<6> <OY665LP> <18/01/2026 20:28:42.869>
<1> <FP766OL> <18/01/2026 19:57:22.503>
<2> <FP766OL> <18/01/2026 20:10:28.271>
<3> <FP766OL> <18/01/2026 20:21:33.665>
<4> <FP766OL> <18/01/2026 20:29:55.563>
<5> <FP766OL> <18/01/2026 20:38:38.225>
<5> <NX156LQ> <18/01/2026 20:24:54.403>
<6> <YC415NW> <18/01/2026 20:36:14.839>
<5> <MQ263OX> <18/01/2026 20:36:55.584>
